isoform_id	category	E1	E2	E3
523	novel_in_catalog	1.0	0.0	0.0
524	novel_in_catalog	1.0	0.0	0.0
525	full-splice_match	1.0	1.0	0.0
526	novel_in_catalog	1.0	1.0	1.0
527	novel_not_in_catalog	1.0	1.0	0.0
528	full-splice_match	1.0	1.0	1.0
529	novel_in_catalog	1.0	0.0	0.0
530	full-splice_match	1.0	1.0	1.0
531	fusion	1.0	0.0	0.0
532	incomplete-splice_match	1.0	1.0	1.0
533	novel_in_catalog	1.0	0.0	0.0
534	novel_in_catalog	1.0	0.0	0.0
535	novel_in_catalog	1.0	0.0	0.0
536	full-splice_match	1.0	1.0	1.0
537	full-splice_match	1.0	1.0	0.0
538	full-splice_match	1.0	1.0	1.0
539	full-splice_match	1.0	1.0	1.0
540	full-splice_match	1.0	1.0	1.0
541	full-splice_match	1.0	0.0	0.0
542	full-splice_match	1.0	1.0	1.0
543	novel_not_in_catalog	1.0	0.0	0.0
544	novel_not_in_catalog	1.0	1.0	1.0
545	novel_not_in_catalog	1.0	1.0	1.0
546	novel_not_in_catalog	1.0	0.0	1.0
547	fusion	1.0	1.0	0.0
548	full-splice_match	1.0	1.0	1.0
549	novel_in_catalog	1.0	1.0	1.0
550	novel_not_in_catalog	1.0	0.0	0.0
551	novel_not_in_catalog	1.0	0.0	0.0
552	novel_not_in_catalog	1.0	1.0	0.0
553	novel_not_in_catalog	1.0	0.0	0.0
554	full-splice_match	1.0	1.0	1.0
555	full-splice_match	1.0	1.0	1.0
556	full-splice_match	1.0	1.0	1.0
557	full-splice_match	1.0	0.0	0.0
558	novel_not_in_catalog	1.0	0.0	0.0
559	full-splice_match	1.0	0.0	0.0
560	novel_not_in_catalog	1.0	0.0	0.0
561	full-splice_match	1.0	0.0	1.0
562	incomplete-splice_match	1.0	0.0	0.0
563	incomplete-splice_match	1.0	1.0	1.0
564	full-splice_match	1.0	1.0	1.0
565	novel_not_in_catalog	1.0	0.0	0.0
566	novel_in_catalog	1.0	0.0	0.0
567	full-splice_match	1.0	1.0	1.0
568	full-splice_match	1.0	1.0	1.0
569	novel_not_in_catalog	1.0	0.0	0.0
570	full-splice_match	1.0	0.0	1.0
571	full-splice_match	1.0	1.0	1.0
572	full-splice_match	1.0	0.0	0.0
573	novel_in_catalog	1.0	1.0	0.0
574	incomplete-splice_match	1.0	0.0	0.0
575	full-splice_match	1.0	0.0	0.0
576	full-splice_match	1.0	1.0	1.0
577	full-splice_match	1.0	1.0	1.0
578	full-splice_match	1.0	1.0	1.0
579	full-splice_match	1.0	1.0	1.0
580	novel_not_in_catalog	1.0	1.0	1.0
581	incomplete-splice_match	1.0	0.0	0.0
582	novel_in_catalog	1.0	0.0	0.0
583	novel_not_in_catalog	1.0	0.0	0.0
584	full-splice_match	1.0	0.0	1.0
585	novel_not_in_catalog	1.0	0.0	0.0
586	full-splice_match	1.0	1.0	1.0
