	E1	E3
979	61.0	59.0
980	76.0	33.0
981	3531.0	2353.0
982	2.0	0.0
983	5.0	0.0
984	3.0	0.0
985	49.0	19.0
986	2.0	2.0
987	3.0	8.0
988	8.0	0.0
989	3.0	0.0
990	199.0	204.0
991	22.0	9.0
992	18.0	0.0
993	83.0	105.0
994	4.0	0.0
995	7.0	0.0
996	5.0	5.0
997	8.0	0.0
998	2.0	0.0
999	11.0	10.0
1000	4.0	0.0
1001	4.0	0.0
1002	4.0	0.0
1003	10.0	0.0
1004	3.0	0.0
1005	2.0	0.0
1006	4.0	0.0
1007	116.0	135.0
1008	5.0	3.0
1009	7.0	3.0
1010	25.0	11.0
1011	2.0	0.0
1012	45.0	0.0
1013	7.0	3.0
1014	2.0	0.0
1015	124.0	50.0
1016	2.0	0.0
1017	2.0	0.0
1018	3.0	5.0
1019	18.0	0.0
1020	10.0	2.0
1021	4.0	5.0
1022	14.0	6.0
1023	2.0	0.0
1024	17.0	27.0
1025	2.0	0.0
1026	5.0	4.0
1027	218.0	329.0
1028	2.0	0.0
1029	2.0	0.0
1030	6.0	3.0
1031	3.0	0.0
1032	2.0	0.0
1033	2.0	0.0
1034	2.0	2.0
1035	3.0	0.0
1036	30.0	37.0
1037	4.0	0.0
1038	2.0	0.0
1039	225.0	366.0
1040	21.0	19.0
1041	5.0	0.0
1042	154.0	381.0
1043	26.0	8.0
1044	2.0	2.0
1045	13.0	3.0
1046	7.0	7.0
1047	241.0	154.0
1048	2.0	0.0
1049	2.0	0.0
1050	12.0	8.0
1051	246.0	180.0
1052	3.0	0.0
1053	3.0	0.0
1054	10.0	0.0
1055	3.0	5.0
1056	444.0	488.0
1057	2.0	2.0
1058	7.0	0.0
1059	38.0	19.0
1060	84.0	79.0
1061	20.0	13.0
1062	2.0	2.0
1063	6.0	5.0
1064	37.0	17.0
1065	5.0	2.0
1066	2.0	0.0
1067	47.0	57.0
1068	6.0	10.0
1069	5.0	0.0
1070	2.0	0.0
1071	36.0	38.0
1072	2.0	0.0
1073	2.0	0.0
1074	2.0	0.0
1075	6.0	10.0
1076	13.0	12.0
1077	2.0	0.0
1078	782.0	963.0
1079	2.0	2.0
1080	2.0	4.0
1081	3.0	6.0
1082	5.0	0.0
1083	2.0	0.0
1084	144.0	230.0
1085	2.0	2.0
1086	8.0	3.0
1087	4.0	10.0
1088	2.0	7.0
1089	619.0	817.0
1090	2.0	4.0
1091	5.0	0.0
1092	4.0	0.0
1093	2.0	0.0
1094	804.0	926.0
1095	30.0	8.0
1096	4.0	14.0
1097	152.0	169.0
1098	2.0	13.0
1099	14.0	21.0
1100	9.0	2.0
1101	4.0	7.0
1102	14.0	0.0
1103	2.0	0.0
1104	3.0	20.0
1105	3.0	0.0
1106	4.0	0.0
1107	2.0	0.0
1108	4.0	12.0
1109	30.0	44.0
1110	2.0	0.0
1111	9.0	4.0
1112	2.0	0.0
1113	4.0	3.0
1114	3.0	0.0
1115	12.0	0.0
1116	2.0	3.0
1117	3.0	0.0
1118	23.0	15.0
1119	31.0	30.0
1120	10.0	24.0
1121	2.0	0.0
1122	2.0	11.0
1123	2.0	0.0
1124	2.0	0.0
1125	2.0	0.0
1126	3.0	10.0
1127	14.0	23.0
1128	2.0	0.0
1129	2.0	0.0
1130	5.0	5.0
1131	2.0	0.0
1132	33.0	101.0
1133	2.0	0.0
1134	2.0	0.0
1135	5.0	4.0
1136	91.0	120.0
1137	2.0	2.0
1138	2.0	0.0
1139	2.0	2.0
1140	49.0	85.0
1141	14.0	9.0
1142	2.0	2.0
1143	2.0	0.0
1144	4.0	8.0
1145	8.0	5.0
1146	2.0	0.0
1147	2.0	6.0
1148	15.0	16.0
1149	2.0	0.0
1150	91.0	50.0
1151	21.0	26.0
